frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
84,1.3997365189143876,313,448,562,522,437.5,485.0,-656.0
85,1.4164000489014636,306,424,568,492,437.0,458.0,-683.0
86,1.4330635788885395,306,416,569,482,437.5,449.0,-692.0
87,1.4497271088756156,309,422,572,490,440.5,456.0,-685.0
88,1.4663906388626917,313,437,570,511,441.5,474.0,-667.0
89,1.4830541688497678,321,471,568,548,444.5,509.5,-631.5
90,1.4997176988368437,327,514,562,596,444.5,555.0,-586.0
91,1.5163812288239198,333,556,566,653,449.5,604.5,-536.5
92,1.5330447588109959,337,620,565,712,451.0,666.0,-475.0
93,1.549708288798072,337,703,560,780,448.5,741.5,-399.5
94,1.5663718187851479,344,771,558,854,451.0,812.5,-328.5
95,1.583035348772224,344,846,561,933,452.5,889.5,-251.5
