frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
197,3.28271847690387,175,526,434,616,304.5,571.0,66.5
198,3.29938202247191,184,603,425,696,304.5,649.5,145.0
199,3.31604556803995,185,688,427,790,306.0,739.0,234.5
200,3.33270911360799,184,783,427,889,305.5,836.0,331.5
201,3.34937265917603,188,879,425,986,306.5,932.5,428.0
202,3.36603620474407,177,981,423,1080,300.0,1030.5,526.0
203,3.38269975031211,183,1070,427,1166,305.0,1118.0,613.5
204,3.39936329588015,182,1166,430,1253,306.0,1209.5,705.0
205,3.41602684144819,177,1240,437,1330,307.0,1285.0,780.5
206,3.4326903870162297,178,1312,445,1400,311.5,1356.0,851.5
207,3.4493539325842697,167,1384,451,1458,309.0,1421.0,916.5
208,3.4660174781523096,164,1431,453,1500,308.5,1465.5,961.0
209,3.4826810237203496,162,1456,456,1524,309.0,1490.0,985.5
210,3.4993445692883896,160,1460,456,1528,308.0,1494.0,989.5
211,3.5160081148564295,165,1438,453,1507,309.0,1472.5,968.0
212,3.5326716604244695,174,1390,446,1463,310.0,1426.5,922.0
213,3.5493352059925094,174,1322,442,1406,308.0,1364.0,859.5
214,3.5659987515605494,178,1247,438,1337,308.0,1292.0,787.5
215,3.5826622971285893,181,1158,434,1262,307.5,1210.0,705.5
216,3.5993258426966293,180,1072,430,1176,305.0,1124.0,619.5
217,3.615989388264669,182,986,428,1084,305.0,1035.0,530.5
218,3.632652933832709,185,890,426,991,305.5,940.5,436.0
219,3.649316479400749,183,802,429,896,306.0,849.0,344.5
220,3.665980024968789,180,708,426,806,303.0,757.0,252.5
221,3.682643570536829,179,617,427,716,303.0,666.5,162.0
222,3.699307116104869,175,534,432,634,303.5,584.0,79.5
223,3.715970661672909,168,476,437,567,302.5,521.5,17.0
224,3.732634207240949,155,447,448,524,301.5,485.5,-19.0
225,3.749297752808989,151,428,449,501,300.0,464.5,-40.0
226,3.7659612983770288,148,427,448,500,298.0,463.5,-41.0
227,3.7826248439450687,151,441,446,514,298.5,477.5,-27.0
228,3.7992883895131087,155,470,442,545,298.5,507.5,3.0
229,3.8159519350811486,164,509,440,592,302.0,550.5,46.0
230,3.8326154806491886,173,542,433,651,303.0,596.5,92.0
231,3.8492790262172285,178,615,434,725,306.0,670.0,165.5
232,3.8659425717852685,183,709,430,799,306.5,754.0,249.5
233,3.8826061173533084,184,796,429,891,306.5,843.5,339.0
234,3.8992696629213484,190,889,426,992,308.0,940.5,436.0
235,3.9159332084893883,194,1000,426,1096,310.0,1048.0,543.5
236,3.9325967540574283,195,1100,432,1194,313.5,1147.0,642.5
237,3.949260299625468,185,1190,440,1285,312.5,1237.5,733.0
238,3.965923845193508,182,1282,441,1360,311.5,1321.0,816.5
239,3.982587390761548,177,1350,446,1421,311.5,1385.5,881.0
240,3.999250936329588,168,1396,452,1466,310.0,1431.0,926.5
